0,1
Date,Gold Price per Gram
Current Price,31588.4 LKR
03-Nov-2024,25701  LKR
02-Nov-2024,25701  LKR
01-Nov-2024,25719.3  LKR
31-Oct-2024,25788.4  LKR
30-Oct-2024,26239.1  LKR
29-Oct-2024,26161.5  LKR
28-Oct-2024,25834.5  LKR
27-Oct-2024,25952.3  LKR
26-Oct-2024,25952.3  LKR
25-Oct-2024,25933  LKR
24-Oct-2024,25799.4  LKR
23-Oct-2024,25579  LKR
22-Oct-2024,25879.6  LKR
21-Oct-2024,25593  LKR
20-Oct-2024,25581.2  LKR
19-Oct-2024,25581.2  LKR
18-Oct-2024,25581.2  LKR
17-Oct-2024,25310  LKR
16-Oct-2024,25133.6  LKR
15-Oct-2024,25065.4  LKR
14-Oct-2024,24920.5  LKR
13-Oct-2024,24978.7  LKR
12-Oct-2024,24978.7  LKR
11-Oct-2024,24978.7  LKR
10-Oct-2024,24734.6  LKR
09-Oct-2024,24521.6  LKR
08-Oct-2024,24665.3  LKR
07-Oct-2024,24874.5  LKR
06-Oct-2024,25105.1  LKR
05-Oct-2024,25105.1  LKR
04-Oct-2024,24993.9  LKR
03-Oct-2024,25069.5  LKR
02-Oct-2024,25167.8  LKR
01-Oct-2024,25210.5  LKR
30-Sep-2024,25051  LKR
29-Sep-2024,25430  LKR
28-Sep-2024,25430  LKR
27-Sep-2024,25430  LKR
26-Sep-2024,25717  LKR
25-Sep-2024,25664.9  LKR
24-Sep-2024,25854.4  LKR
23-Sep-2024,25687.4  LKR
22-Sep-2024,25631.9  LKR
21-Sep-2024,25631.9  LKR
20-Sep-2024,25680  LKR
19-Sep-2024,25308.9  LKR
18-Sep-2024,24844.2  LKR
17-Sep-2024,24950  LKR
16-Sep-2024,25050  LKR
15-Sep-2024,24992.8  LKR
14-Sep-2024,24964.7  LKR
13-Sep-2024,24838.5  LKR
12-Sep-2024,24786.6  LKR
11-Sep-2024,24232.7  LKR
10-Sep-2024,24277.7  LKR
09-Sep-2024,24192.6  LKR
08-Sep-2024,23979.3  LKR
07-Sep-2024,23979.3  LKR
06-Sep-2024,23943.8  LKR
05-Sep-2024,24135.7  LKR
04-Sep-2024,23886.8  LKR
03-Sep-2024,23927  LKR
02-Sep-2024,24035.3  LKR
01-Sep-2024,24078.4  LKR
31-Aug-2024,24043.5  LKR
30-Aug-2024,24034.4  LKR
29-Aug-2024,24354.8  LKR
28-Aug-2024,24157.1  LKR
27-Aug-2024,24339.9  LKR
26-Aug-2024,24323.4  LKR
25-Aug-2024,23992.3  LKR
24-Aug-2024,23992.3  LKR
23-Aug-2024,24176.9  LKR
22-Aug-2024,24038.6  LKR
21-Aug-2024,24241.9  LKR
20-Aug-2024,24114.9  LKR
19-Aug-2024,24021.1  LKR
18-Aug-2024,23958  LKR
17-Aug-2024,24051.8  LKR
16-Aug-2024,24052.2  LKR
15-Aug-2024,23572.5  LKR
14-Aug-2024,23509.7  LKR
13-Aug-2024,23669.2  LKR
12-Aug-2024,23753.2  LKR
11-Aug-2024,23388.6  LKR
10-Aug-2024,23415.4  LKR
09-Aug-2024,23416.3  LKR
08-Aug-2024,23453.7  LKR
07-Aug-2024,23095.6  LKR
06-Aug-2024,23201.9  LKR
05-Aug-2024,23241.2  LKR
04-Aug-2024,23460  LKR
03-Aug-2024,23661.4  LKR
02-Aug-2024,23784.7  LKR
01-Aug-2024,23811.7  LKR
31-Jul-2024,23760.4  LKR
30-Jul-2024,23403.4  LKR
29-Jul-2024,23172.8  LKR
28-Jul-2024,23191.3  LKR
27-Jul-2024,23216.9  LKR
26-Jul-2024,23223.2  LKR
25-Jul-2024,23032.6  LKR
24-Jul-2024,23364  LKR
23-Jul-2024,23488.5  LKR
22-Jul-2024,23394.6  LKR
21-Jul-2024,23362.1  LKR
20-Jul-2024,23362.1  LKR
19-Jul-2024,23369.7  LKR
18-Jul-2024,23865  LKR
17-Jul-2024,23967.6  LKR
16-Jul-2024,24050.7  LKR
15-Jul-2024,23536.8  LKR
14-Jul-2024,23347.1  LKR
13-Jul-2024,23408.9  LKR
12-Jul-2024,23415  LKR
11-Jul-2024,23488.6  LKR
10-Jul-2024,23118.9  LKR
09-Jul-2024,23080.3  LKR
08-Jul-2024,23077  LKR
07-Jul-2024,23418.1  LKR
06-Jul-2024,23337.2  LKR
05-Jul-2024,23363.5  LKR
04-Jul-2024,23018  LKR
03-Jul-2024,23036  LKR
02-Jul-2024,22875.3  LKR
01-Jul-2024,22859.4  LKR
30-Jun-2024,22808.3  LKR
29-Jun-2024,22848.2  LKR
28-Jun-2024,22848.2  LKR
27-Jun-2024,22862.5  LKR
26-Jun-2024,22543.1  LKR
25-Jun-2024,22756.5  LKR
24-Jun-2024,22850  LKR
23-Jun-2024,22702.1  LKR
22-Jun-2024,22706.7  LKR
21-Jun-2024,22750.9  LKR
20-Jun-2024,23119.2  LKR
19-Jun-2024,22831.7  LKR
18-Jun-2024,22805.5  LKR
17-Jun-2024,22618.8  LKR
16-Jun-2024,22722.3  LKR
15-Jun-2024,22719.9  LKR
14-Jun-2024,22763.3  LKR
13-Jun-2024,22519  LKR
12-Jun-2024,22520.9  LKR
11-Jun-2024,22586.5  LKR
10-Jun-2024,22457.2  LKR
09-Jun-2024,22470.8  LKR
08-Jun-2024,22287.8  LKR
07-Jun-2024,22262.4  LKR
06-Jun-2024,23062.8  LKR
05-Jun-2024,22884.1  LKR
04-Jun-2024,22581.9  LKR
03-Jun-2024,22774.7  LKR
02-Jun-2024,22453.8  LKR
01-Jun-2024,22481  LKR
31-May-2024,22487.7  LKR
30-May-2024,22709.8  LKR
29-May-2024,22650.8  LKR
28-May-2024,22899.6  LKR
27-May-2024,22686  LKR
26-May-2024,22466.9  LKR
25-May-2024,22418.3  LKR
24-May-2024,22429.7  LKR
23-May-2024,22459.4  LKR
22-May-2024,22935.6  LKR
21-May-2024,23323.6  LKR
20-May-2024,23373.4  LKR
19-May-2024,23145.3  LKR
18-May-2024,23108.9  LKR
17-May-2024,23258.6  LKR
16-May-2024,22966.1  LKR
15-May-2024,23149.5  LKR
14-May-2024,22640.7  LKR
13-May-2024,22462.6  LKR
12-May-2024,22680.2  LKR
11-May-2024,22642.9  LKR
10-May-2024,22662.4  LKR
09-May-2024,22508.9  LKR
08-May-2024,22263  LKR
07-May-2024,22062.1  LKR
06-May-2024,22171.5  LKR
05-May-2024,21905.1  LKR
04-May-2024,21901.2  LKR
03-May-2024,21960.7  LKR
02-May-2024,21974.1  LKR
01-May-2024,22219.4  LKR
30-Apr-2024,21826.3  LKR
29-Apr-2024,22268.5  LKR
